Histogram,Texture,GLCM,RLM,Form,GLZSM
,Correlation_angle0_offset7,HaralickCorrelation_angle0_offset7,LongRunEmphasis_angle0_offset7,,
,Correlation_angle135_offset1,HaralickCorrelation_angle135_offset1,LongRunEmphasis_angle135_offset1,,
,Correlation_angle135_offset4,HaralickCorrelation_angle135_offset4,LongRunEmphasis_angle135_offset4,,
,Correlation_angle135_offset7,HaralickCorrelation_angle135_offset7,LongRunEmphasis_angle135_offset7,,
,Correlation_angle45_offset1,HaralickCorrelation_angle45_offset1,LongRunEmphasis_angle45_offset1,,
,Correlation_angle45_offset4,HaralickCorrelation_angle45_offset4,LongRunEmphasis_angle45_offset4,,
,Correlation_angle45_offset7,HaralickCorrelation_angle45_offset7,LongRunEmphasis_angle45_offset7,,
,Correlation_angle90_offset1,HaralickCorrelation_angle90_offset1,LongRunEmphasis_angle90_offset1,,
,Correlation_angle90_offset4,HaralickCorrelation_angle90_offset4,LongRunEmphasis_angle90_offset4,,
,Correlation_angle90_offset7,HaralickCorrelation_angle90_offset7,LongRunEmphasis_angle90_offset7,,
,Inertia_AllDirection_offset1,InverseDifferenceMoment_AllDirection_offset1,LongRunHighGreyLevelEmphasis_AllDirection_offset1,,
,Inertia_AllDirection_offset1_SD,InverseDifferenceMoment_AllDirection_offset1_SD,LongRunHighGreyLevelEmphasis_AllDirection_offset1_SD,,
,Inertia_AllDirection_offset4,InverseDifferenceMoment_AllDirection_offset4,LongRunHighGreyLevelEmphasis_AllDirection_offset4,,
,Inertia_AllDirection_offset4_SD,InverseDifferenceMoment_AllDirection_offset4_SD,LongRunHighGreyLevelEmphasis_AllDirection_offset4_SD,,
,Inertia_AllDirection_offset7,InverseDifferenceMoment_AllDirection_offset7,LongRunHighGreyLevelEmphasis_AllDirection_offset7,,
,Inertia_AllDirection_offset7_SD,InverseDifferenceMoment_AllDirection_offset7_SD,LongRunHighGreyLevelEmphasis_AllDirection_offset7_SD,,
,Inertia_angle0_offset1,InverseDifferenceMoment_angle0_offset1,LongRunHighGreyLevelEmphasis_angle0_offset1,,
,Inertia_angle0_offset4,InverseDifferenceMoment_angle0_offset4,LongRunHighGreyLevelEmphasis_angle0_offset4,,
,Inertia_angle0_offset7,InverseDifferenceMoment_angle0_offset7,LongRunHighGreyLevelEmphasis_angle0_offset7,,
,Inertia_angle135_offset1,InverseDifferenceMoment_angle135_offset1,LongRunHighGreyLevelEmphasis_angle135_offset1,,
,Inertia_angle135_offset4,InverseDifferenceMoment_angle135_offset4,LongRunHighGreyLevelEmphasis_angle135_offset4,,
,Inertia_angle135_offset7,InverseDifferenceMoment_angle135_offset7,LongRunHighGreyLevelEmphasis_angle135_offset7,,
,Inertia_angle45_offset1,InverseDifferenceMoment_angle45_offset1,LongRunHighGreyLevelEmphasis_angle45_offset1,,
,Inertia_angle45_offset4,InverseDifferenceMoment_angle45_offset4,LongRunHighGreyLevelEmphasis_angle45_offset4,,
,Inertia_angle45_offset7,InverseDifferenceMoment_angle45_offset7,LongRunHighGreyLevelEmphasis_angle45_offset7,,
,Inertia_angle90_offset1,InverseDifferenceMoment_angle90_offset1,LongRunHighGreyLevelEmphasis_angle90_offset1,,
,Inertia_angle90_offset4,InverseDifferenceMoment_angle90_offset4,LongRunHighGreyLevelEmphasis_angle90_offset4,,
,Inertia_angle90_offset7,InverseDifferenceMoment_angle90_offset7,LongRunHighGreyLevelEmphasis_angle90_offset7,,
,,AngularSecondMoment,LongRunLowGreyLevelEmphasis_AllDirection_offset1,,
,,HaraEntroy,LongRunLowGreyLevelEmphasis_AllDirection_offset1_SD,,
,,HaraVariance,LongRunLowGreyLevelEmphasis_AllDirection_offset4,,
,,contrast,LongRunLowGreyLevelEmphasis_AllDirection_offset4_SD,,
,,differenceEntropy,LongRunLowGreyLevelEmphasis_AllDirection_offset7,,
,,differenceVariance,LongRunLowGreyLevelEmphasis_AllDirection_offset7_SD,,
,,inverseDifferenceMoment,LongRunLowGreyLevelEmphasis_angle0_offset1,,
,,sumAverage,LongRunLowGreyLevelEmphasis_angle0_offset4,,
,,sumEntropy,LongRunLowGreyLevelEmphasis_angle0_offset7,,
,,sumVariance,LongRunLowGreyLevelEmphasis_angle135_offset1,,
,,,LongRunLowGreyLevelEmphasis_angle135_offset4,,
,,,LongRunLowGreyLevelEmphasis_angle135_offset7,,
,,,LongRunLowGreyLevelEmphasis_angle45_offset1,,
,,,LongRunLowGreyLevelEmphasis_angle45_offset4,,
,,,LongRunLowGreyLevelEmphasis_angle45_offset7,,
,,,LongRunLowGreyLevelEmphasis_angle90_offset1,,
,,,LongRunLowGreyLevelEmphasis_angle90_offset4,,
,,,LongRunLowGreyLevelEmphasis_angle90_offset7,,
,,,LowGreyLevelRunEmphasis_AllDirection_offset1,,
,,,LowGreyLevelRunEmphasis_AllDirection_offset1_SD,,
,,,LowGreyLevelRunEmphasis_AllDirection_offset4,,
,,,LowGreyLevelRunEmphasis_AllDirection_offset4_SD,,
,,,LowGreyLevelRunEmphasis_AllDirection_offset7,,
,,,LowGreyLevelRunEmphasis_AllDirection_offset7_SD,,
,,,LowGreyLevelRunEmphasis_angle0_offset1,,
,,,LowGreyLevelRunEmphasis_angle0_offset4,,
,,,LowGreyLevelRunEmphasis_angle0_offset7,,
